"Median"	"Normal_low"	"Normal_hight"	"Basic_low"	"Basic_hight"	"Region"	"Group"
"-0.05"	"-0.683943372439033"	"0.494421872439033"	"-0.63"	"0.494874897868912"	"hg19"	"Emerging"
"9"	"8.81785977260717"	"9.16557322739283"	"8.8"	"9.18"	"hg19"	"Evolving"
"6.5"	"6.34852378153699"	"6.68091371846301"	"6.33512510213109"	"6.71"	"hg19"	"Constant"
"-0.375"	"-1.024641857644"	"0.466888357644"	"-0.84"	"0.63"	"panTro4"	"Emerging"
"8.51"	"8.33185605828073"	"8.67042144171927"	"8.32"	"8.65"	"panTro4"	"Evolving"
"6.39"	"6.20325741068679"	"6.59772008931321"	"6.24"	"6.57"	"panTro4"	"Constant"
"-2.165"	"-3.16174896154829"	"-0.902418038451712"	"-2.74"	"-0.805"	"nomLeu1"	"Emerging"
"7.44"	"7.09756235460475"	"7.72795464539525"	"7.12"	"7.68"	"nomLeu1"	"Evolving"
"6.33"	"6.1072348390472"	"6.5464756609528"	"6.13"	"6.55"	"nomLeu1"	"Constant"
"-3.99"	"-4.95779291336492"	"-3.07161708663508"	"-4.88"	"-3.125"	"rheMac3"	"Emerging"
"6.66"	"6.36467420951047"	"6.98401029048953"	"6.4"	"7.01"	"rheMac3"	"Evolving"
"6.35"	"6.0944337245522"	"6.6023997754478"	"6.13"	"6.59"	"rheMac3"	"Constant"
"-5.325"	"-5.80635683400591"	"-4.83399916599409"	"-5.77"	"-4.775"	"calJac3"	"Emerging"
"5.75"	"5.45926226329543"	"6.04219523670457"	"5.49"	"6.06"	"calJac3"	"Evolving"
"7.19"	"6.89800463190091"	"7.45591086809909"	"6.885"	"7.425"	"calJac3"	"Constant"
